description,duration,main_speaker,name,speaker_occupation,tags,title,views,index
"How do you build a wheelchair ready to blaze through mud and sand, all for under $200? MIT engineer Amos Winter guides us through the mechanics of an all-terrain wheelchair that's cheap and easy to build -- for true accessibility -- and gives us some lessons he learned along the road.",674,Amos Winter,Amos Winter: The cheap all-terrain wheelchair,Mechanical engineer,"['TEDx', 'culture', 'design', 'disability', 'engineering', 'innovation', 'invention', 'physics', 'poverty', 'product design']",The cheap all-terrain wheelchair,1004016,1383
"Brothers Jonny, Robbie and Tommy Mizzone are The Sleepy Man Banjo Boys, a trio of virtuoso bluegrass musicians who play with dazzling vivacity. Did we mention they're all under 16?",302,Sleepy Man Banjo Boys,Sleepy Man Banjo Boys: Teen wonders play bluegrass,Bluegrass musicians,"['children', 'entertainment', 'live music', 'performance', 'wunderkind', 'youth']",Teen wonders play bluegrass,1798001,1384
"Nature’s beauty can be fleeting -- but not through Louie Schwartzberg’s lens. His stunning time-lapse photography, accompanied by powerful words from Benedictine monk Brother David Steindl-Rast, serves as a meditation on being grateful for every day.",587,Louie Schwartzberg,Louie Schwartzberg: Nature. Beauty. Gratitude.,Filmmaker,"['TEDx', 'biodiversity', 'biology', 'compassion', 'culture', 'photography']",Nature. Beauty. Gratitude.,3658158,1385
"In her New Orleans neighborhood, artist and TED Fellow Candy Chang turned an abandoned house into a giant chalkboard asking a fill-in-the-blank question: ""Before I die I want to ___."" Her neighbors' answers -- surprising, poignant, funny -- became an unexpected mirror for the community. (What's your answer?)",380,Candy Chang,Candy Chang: Before I die I want to ...,"Artist, designer, urban planner","['TED Fellows', 'art', 'cities', 'community', 'death', 'public spaces']",Before I die I want to ...,4922118,1386
"When most well-intentioned aid workers hear of a problem they think they can fix, they go to work. This, Ernesto Sirolli suggests, is naïve. In this funny and impassioned talk, he proposes that the first step is to listen to the people you're trying to help, and tap into their own entrepreneurial spirit. His advice on what works will help any entrepreneur.",1029,Ernesto Sirolli,Ernesto Sirolli: Want to help someone? Shut up and listen!,Sustainable development expert,"['TEDx', 'business', 'global development', 'global issues']",Want to help someone? Shut up and listen!,2829484,1387
"It's an unfortunate reality in nearly every major city—road congestion, especially during rush hours. Jonas Eliasson reveals how subtly nudging just a small percentage of drivers to stay off major roads can make traffic jams a thing of the past.",507,Jonas Eliasson,Jonas Eliasson: How to solve traffic jams,Transportation specialist,"['cars', 'transportation']",How to solve traffic jams,1194938,1388
"Cross-country skier Janine Shepherd hoped for an Olympic medal -- until she was hit by a truck during a training bike ride. She shares a powerful story about the human potential for recovery. Her message: you are not your body, and giving up old dreams can allow new ones to soar.",1137,Janine Shepherd,Janine Shepherd: A broken body isn't a broken person,Pilot,"['Human body', 'TEDx', 'body language', 'health', 'health care', 'identity', 'storytelling']",A broken body isn't a broken person,1367089,1389
"As natural garbage collectors, vultures are vital to our ecosystem -- so why all the bad press? Why are so many in danger of extinction? Raptor biologist Munir Virani says we need to pay more attention to these unique and misunderstood creatures, to change our perception and save the vultures.",401,Munir Virani,Munir Virani: Why I love vultures,"Raptor biologist, wildlife photographer","['Africa', 'Egypt', 'adventure', 'animals', 'bacteria', 'biodiversity', 'biology', 'birds', 'conservation', 'ecology', 'environment', 'history', 'nature', 'pollution', 'science', 'wind energy']",Why I love vultures,926948,1390
"People don't just cook anymore -- they're cooking, texting, talking on the phone, watching YouTube and uploading photos of the awesome meal they just made. Designer Paolo Cardini questions the efficiency of our multitasking world and makes the case for -- gasp -- ""monotasking.""",172,Paolo Cardini,"Paolo Cardini: Forget multitasking, try monotasking",Designer,"['culture', 'design', 'humor', 'product design', 'technology']","Forget multitasking, try monotasking",2324212,1391
"Throughout the history of Islam, says journalist Bobby Ghosh, there have been two sides to jihad: one, internal, a personal struggle to be better, the other external. A small minority has appropriated the second meaning, using it as an excuse for deadly global violence against ""the West."" Ghosh suggests it's time to reclaim the word.",991,Bobby Ghosh,Bobby Ghosh: Why global jihad is losing,Editor,"['Egypt', 'TEDx', 'culture', 'faith', 'global issues', 'politics', 'religion', 'terrorism', 'war']",Why global jihad is losing,660569,1392
"If you had to walk a mile for a jug of water every day, as millions of people do, it's unlikely you'd use that precious water to bathe. Young entrepreneur Ludwick Marishane tells the amazing, funny story of how he invented a cheap, clean and convenient solution: DryBath, the world's first bath-substituting lotion.",313,Ludwick Marishane,Ludwick Marishane: A bath without water,Entrepreneur,"['Africa', 'business', 'entrepreneur', 'global development', 'innovation', 'invention', 'water']",A bath without water,1594495,1393
Jeff Smith spent a year in prison. But what he discovered inside wasn't what he expected -- he saw in his fellow inmates boundless ingenuity and business savvy. He asks: Why don't we tap this entrepreneurial potential to help ex-prisoners contribute to society once they're back outside? (From the TED Talent Search event TED@NewYork.),300,Jeff Smith,Jeff Smith: Lessons in business ... from prison,Recovering politician,"['business', 'prison']",Lessons in business ... from prison,1233545,1394
"Each of our bodies is utterly unique, which is a lovely thought until it comes to treating an illness -- when every body reacts differently, often unpredictably, to standard treatment. Tissue engineer Nina Tandon talks about a possible solution: Using pluripotent stem cells to make personalized models of organs on which to test new drugs and treatments, and storing them on computer chips. (Call it extremely personalized medicine.)",379,Nina Tandon,Nina Tandon: Could tissue engineering mean personalized medicine?,Tissue engineering researcher,"['TED Fellows', 'biology', 'biotech', 'cancer', 'disease', 'engineering', 'health', 'health care', 'illness', 'innovation', 'medical research', 'medicine', 'molecular biology', 'pharmaceuticals', 'physiology', 'science', 'synthetic biology', 'technology']",Could tissue engineering mean personalized medicine?,1063880,1395
"Would you kill for a pair of Air Jordans? Lemon Andersen spins a tale of someone who did, reciting a poem by Reg E. Gaines. These verses taught Lemon that poetry could be about more than self-expression, and could sound like music when given rhythm and infused with the grit of the New York streets around him.",535,Lemon Andersen,Lemon Andersen: Please don't take my Air Jordans,Poet and actor,"['TEDYouth', 'performance', 'poetry', 'spoken word']",Please don't take my Air Jordans,1120276,1396
"Patenting a new drug helps finance its immense cost to develop -- but that same patent can put advanced treatments out of reach for sick people in developing nations, at deadly cost. Ellen 't Hoen talks about an elegant, working solution to the problem: the Medicines Patent Pool.",676,Ellen 't Hoen,"Ellen 't Hoen: Pool medical patents, save lives",Medicine law expert,"['AIDS', 'Bioethics', 'HIV', 'TEDx', 'activism', 'business', 'collaboration', 'disease', 'health', 'health care', 'history', 'illness', 'invention', 'medical research', 'medicine', 'morality', 'open-source', 'pandemic', 'pharmaceuticals', 'public health', 'science', 'social change', 'society']","Pool medical patents, save lives",389194,1397
"By the end of this talk, there will be 864 more hours of video on YouTube and 2.5 million more photos on Facebook and Instagram. So how do we sort through the deluge? At the TEDSalon in London, Markham Nolan shares the investigative techniques he and his team use to verify information in real-time, to let you know if that Statue of Liberty image has been doctored or if that video leaked from Syria is legitimate.",809,Markham Nolan,Markham Nolan: How to separate fact and fiction online,Journalist,"['Internet', 'culture', 'journalism', 'online video']",How to separate fact and fiction online,1229150,1398
"Iranian-American comedian Maz Jobrani takes to the TEDxSummit stage in Doha, Qatar to take on serious issues in the Middle East -- like how many kisses to give when saying “Hi,” and what not to say on an American airplane.",431,Maz Jobrani,"Maz Jobrani: A Saudi, an Indian and an Iranian walk into a Qatari bar ...",Comedian,"['Middle East', 'TEDx', 'comedy', 'culture', 'entertainment', 'humor', 'performance']","A Saudi, an Indian and an Iranian walk into a Qatari bar ...",8105311,1399
"A dung beetle has a brain the size of a grain of rice, and yet it shows a tremendous amount of intelligence when it comes to rolling its food source -- animal excrement -- home. How? It all comes down to a dance. ",1028,Marcus Byrne,Marcus Byrne: The dance of the dung beetle,Entomologist,"['TEDx', 'animals', 'biodiversity', 'biology', 'ecology', 'insects', 'science', 'sight']",The dance of the dung beetle,1003863,1400
"Explorer Ben Saunders wants you to go outside! Not because it’s always pleasant and happy, but because that’s where the meat of life is, “the juice that we can suck out of our hours and days.” Saunders’ next outdoor excursion? To try to be the first in the world to walk from the coast of Antarctica to the South Pole and back again.",637,Ben Saunders,Ben Saunders: Why bother leaving the house?,Arctic explorer,"['culture', 'extreme sports', 'personal growth', 'potential', 'sports', 'travel']",Why bother leaving the house?,1778739,1401
"A decade ago, Robin Chase founded Zipcar in the US, now the largest car-sharing company in the world. Now she's exploring the next level of car-sharing: Buzzcar, a French startup that lets people rent their own cars to others. The details are fascinating (how does insurance work, exactly?), and the larger vision (she calls it Peers, Inc.) points to a new definition of ownership and entrepreneurship.",744,Robin Chase,"Robin Chase: Excuse me, may I rent your car?",Transport networker,"['business', 'collaboration', 'consumerism', 'transportation', 'women in business']","Excuse me, may I rent your car?",917877,1402
"Brains are ubiquitous in modern marketing: Headlines proclaim cheese sandwiches help with decision-making, while a “neuro” drink claims to reduce stress. There’s just one problem, says neuroscientist Molly Crockett: The benefits of these ""neuro-enhancements"" are not proven scientifically. In this to-the-point talk, Crockett explains the limits of interpreting neuroscientific data, and why we should all be aware of them.",678,Molly Crockett,Molly Crockett: Beware neuro-bunk,Neuroscientist,"['Bioethics', 'advertising', 'behavioral economics', 'brain', 'cognitive science', 'consumerism', 'decision-making', 'health', 'journalism', 'marketing', 'media', 'medical research', 'mental health', 'mind', 'neuroscience', 'science', 'shopping']",Beware neuro-bunk,1200277,1403
"A long time ago in New York City, Steve Addis stood on a corner holding his 1-year-old daughter in his arms; his wife snapped a photo. The image has inspired an annual father-daughter ritual, where Addis and his daughter pose for the same picture, on the same corner, each year. Addis shares 15 treasured photographs from the series, and explores why this small, repeated ritual means so much.",218,Steven Addis,"Steven Addis: A father-daughter bond, one photo at a time",Brand strategist,"['children', 'parenting', 'photography']","A father-daughter bond, one photo at a time",1405909,1404
"At the end of 2012, the US political system was headed for the ""fiscal cliff"" -- a budget impasse that could only be solved with bipartisan agreement. Adam Davidson, cohost of ""Planet Money,"" shares surprising data on how bipartisan we truly are -- and hints at the disconnect between representatives and the people they represent.",1188,Adam Davidson,Adam Davidson: What we learned from teetering on the fiscal cliff,Journalist,"['economics', 'global issues', 'politics']",What we learned from teetering on the fiscal cliff,783528,1405
"When war between Israel and Iran seemed imminent, Israeli graphic designer Ronny Edry shared a poster on Facebook of himself and his daughter with a bold message: ""Iranians ... we [heart] you."" Other Israelis quickly created their own posters with the same message -- and Iranians responded in kind. The simple act of communication inspired surprising Facebook communities like ""Israel loves Iran,"" ""Iran loves Israel"" and even ""Palestine loves Israel.""",897,Ronny Edry,Ronny Edry: Israel and Iran: A love story?,Graphic Designer,"['Iran', 'Middle East', 'TEDx', 'design', 'global issues', 'peace']",Israel and Iran: A love story?,2033797,1406
"Imagine you're a shipwrecked sailor adrift in the enormous Pacific. You can choose one of three directions and save yourself and your shipmates -- but each choice comes with a fearful consequence too. How do you choose? In telling the story of the whaleship Essex, novelist Karen Thompson Walker shows how fear propels imagination, as it forces us to imagine the possible futures and how to cope with them. ",690,Karen Thompson Walker,Karen Thompson Walker: What fear can teach us,Novelist,"['creativity', 'death', 'entertainment', 'fear', 'storytelling']",What fear can teach us,1951290,1407
"In a single year, there are 200-300 million cases of malaria and 50-100 million cases of dengue fever worldwide. So: Why haven't we found a way to effectively kill mosquitos yet? Hadyn Parry presents a fascinating solution: genetically engineering male mosquitos to make them sterile, and releasing the insects into the wild, to cut down on disease-carrying species.",837,Hadyn Parry,Hadyn Parry: Re-engineering mosquitos to fight disease,Biotechnology entrepreneur,"['DNA', 'animals', 'biomimicry', 'biotech', 'disease', 'ecology', 'engineering', 'genetics', 'global issues', 'health', 'illness', 'innovation', 'insects', 'pandemic', 'public health', 'science', 'synthetic biology', 'technology']",Re-engineering mosquitos to fight disease,943968,1408
"It's been 110 years since Georges Méliès sent a spaceship slamming into the eye of the man on the moon. So how far have visual effects come since then? Working closely with the Academy of Motion Picture Arts and Sciences, Don Levy takes us on a visual journey through special effects, from the fakery of early technology to the seamless marvels of modern filmmaking.",414,Don Levy,Don Levy: A cinematic journey through visual effects,Film executive,"['animation', 'film', 'history']",A cinematic journey through visual effects,724773,1409
"If an asteroid were headed for Earth, we'd all band together and figure out how to stop it, just like in the movies, right? And yet, when faced with major, data-supported, end-of-the-world problems in real life, too often we retreat into partisan shouting and stalemate. Jonathan Haidt shows us a few of the very real asteroids headed our way -- some pet causes of the left wing, some of the right -- and suggests how both wings could work together productively to benefit humanity as a whole.",1201,Jonathan Haidt,Jonathan Haidt: How common threats can make common (political) ground,Social psychologist,"['global issues', 'politics', 'psychology', 'society']",How common threats can make common (political) ground,606994,1410
"When Sue Austin got a power wheelchair, she felt a tremendous sense of freedom -- yet others looked at her as though she had lost something. In her art, she conveys the spirit of wonder she feels wheeling through the world. Includes thrilling footage of an underwater wheelchair that lets her explore ocean beds, drifting through schools of fish, floating free in 360 degrees. ",578,Sue Austin,Sue Austin: Deep sea diving ... in a wheelchair,Performance artist,"['TEDx', 'art', 'disability', 'oceans', 'performance art']",Deep sea diving ... in a wheelchair,2052286,1411
"This talk paints the funny and touching story of a little boy who pursued a simple passion: to draw and write stories. With the help of a supporting cast of family and teachers, Jarrett J. Krosoczka tells how he grew up to create beloved children's books.",1128,Jarrett J. Krosoczka,Jarrett J. Krosoczka: How a boy became an artist,Author/illustrator,"['TEDx', 'art', 'books', 'children', 'design', 'storytelling', 'writing']",How a boy became an artist,879676,1412
"A woman in sub-Saharan Africa is part of a cutting-edge HIV clinical trial -- but she can't afford a bus ticket to her health clinic, let alone the life-saving antiretrovirals she'll need. Boghuma Kabisen Titanji asks an important question: How can researchers looking for a cure make sure they're not taking advantage of the people most affected by the pandemic?",670,Boghuma Kabisen Titanji,Boghuma Kabisen Titanji: Ethical riddles in HIV research,Clinical researcher,"['AIDS', 'TEDx', 'global issues', 'health care', 'medicine', 'pharmaceuticals']",Ethical riddles in HIV research,478878,1413
"When is the last time you did absolutely nothing for 10 whole minutes? Not texting, talking or even thinking? Mindfulness expert Andy Puddicombe describes the transformative power of doing just that: Refreshing your mind for 10 minutes a day, simply by being mindful and experiencing the present moment. (No need for incense or sitting in uncomfortable positions.)",564,Andy Puddicombe,Andy Puddicombe: All it takes is 10 mindful minutes,Mindfulness expert,"['Buddhism', 'body language', 'culture', 'happiness', 'health', 'meditation', 'mindfulness', 'productivity', 'success', 'work']",All it takes is 10 mindful minutes,8033595,1414
"At Camp Diva, Angela Patton works to help young girls and their fathers stay connected and become part of each others' lives. But what about girls whose fathers can't be there -- because they're in jail? Patton tells the story of a very special father-daughter dance. ",528,Angela Patton,Angela Patton: A father-daughter dance ... in prison,Activist,"['TEDx', 'activism', 'children', 'dance', 'parenting', 'social change', 'women', 'youth']",A father-daughter dance ... in prison,815594,1415
"We have personal computing -- why not personal biotech? That's the question biologist Ellen Jorgensen and her colleagues asked themselves before opening Genspace, a nonprofit DIY bio lab in Brooklyn devoted to citizen science, where amateurs can go and tinker with biotechnology. Far from being a sinister Frankenstein's lab (as some imagined it), Genspace offers a long list of fun, creative and practical uses for DIY bio.",608,Ellen Jorgensen,"Ellen Jorgensen: Biohacking -- you can do it, too","Biologist, community science advocate","['Bioethics', 'DNA', 'art', 'biology', 'biotech', 'code', 'collaboration', 'community', 'crowdsourcing', 'engineering', 'entrepreneur', 'future', 'genetics', 'innovation', 'invention', 'journalism', 'media', 'microbiology', 'molecular biology', 'open-source', 'science', 'science and art', 'synthetic biology', 'technology']","Biohacking -- you can do it, too",1164723,1416
"Cameron Russell admits she won “a genetic lottery”: she's tall, pretty and an underwear model. But don't judge her by her looks. In this fearless talk, she takes a wry look at the industry that had her looking highly seductive at barely 16 years old.",577,Cameron Russell,"Cameron Russell: Looks aren't everything. Believe me, I'm a model.",Model,"['TEDx', 'beauty', 'culture', 'fashion', 'photography']","Looks aren't everything. Believe me, I'm a model.",19787465,1417
"Our bodies get Vitamin D from the sun, but as dermatologist Richard Weller suggests, sunlight may confer another surprising benefit too. New research by his team shows that nitric oxide, a chemical transmitter stored in huge reserves in the skin, can be released by UV light, to great benefit for blood pressure and the cardiovascular system. What does it mean? Well, it might begin to explain why Scots get sick more than Australians ...",779,Richard Weller,Richard Weller: Could the sun be good for your heart?,Dermatologist,"['TEDx', 'biology', 'chemistry', 'disease', 'environment', 'health', 'health care', 'heart health', 'illness', 'medical research', 'medicine', 'molecular biology', 'physiology', 'science']",Could the sun be good for your heart?,1042284,1418
"When Colin Stokes' 3-year-old son caught a glimpse of ""Star Wars,"" he was instantly obsessed. But what messages did he absorb from the sci-fi classic? Stokes asks for more movies that send positive messages to boys: that cooperation is heroic, and respecting women is as manly as defeating the villain.",773,Colin Stokes,Colin Stokes: How movies teach manhood,Proud dad,"['TEDx', 'culture', 'film', 'identity', 'men', 'movies', 'parenting']",How movies teach manhood,4146987,1419
"Reporter Janine di Giovanni has been to the worst places on Earth to bring back stories from Bosnia, Sierra Leone and most recently Syria. She tells stories of human moments within large conflicts -- and explores that shocking transition when a familiar city street becomes a bombed-out battleground.",713,Janine di Giovanni,Janine di Giovanni: What I saw in the war,Reporter,"['PTSD', 'Syria', 'TEDx', 'global issues', 'journalism', 'war']",What I saw in the war,939074,1420
"How can you help kids get a good start? In this heartfelt and personal talk, Colin Powell, the former U.S. Secretary of State, asks parents, friends and relatives to support children, starting before they even get to primary school, through community and a strong sense of responsibility.",1066,Colin Powell,Colin Powell: Kids need structure,Former U.S. Secretary of State,"['TEDx', 'children', 'culture', 'education', 'parenting', 'student', 'teaching', 'youth']",Kids need structure,1485801,1421
"Laparoscopic surgery uses minimally invasive incisions -- which means less pain and shorter recovery times for patients. But Steven Schwaitzberg has run into two problems teaching these techniques to surgeons around the world: language and distance. He shares how a new technology, which combines videoconferencing and a real-time universal translator, could help.",701,Steven Schwaitzberg,Steven Schwaitzberg: A universal translator for surgeons,Surgeon and technologist,"['Surgery', 'TEDx', 'health care', 'medicine', 'technology']",A universal translator for surgeons,497489,1422
"Leslie Morgan Steiner was in ""crazy love"" -- that is, madly in love with a man who routinely abused her and threatened her life. Steiner tells the story of her relationship, correcting misconceptions many people hold about victims of domestic violence, and explaining how we can all help break the silence. ",959,Leslie Morgan Steiner,Leslie Morgan Steiner: Why domestic violence victims don't leave,Writer,"['culture', 'global issues', 'love', 'relationships', 'violence', 'women']",Why domestic violence victims don't leave,3846779,1423
Plenty of people need jobs with very flexible hours -- but it's difficult for those people to connect with the employers who need them. Wingham Rowan is working on that. He explains how the same technology that powers modern financial markets can help employers book workers for slivers of time.,740,Wingham Rowan,Wingham Rowan: A new kind of job market,Policy entrepreneur,"['business', 'global issues', 'technology', 'work']",A new kind of job market,1058852,1424
"Coding isn't just for computer whizzes, says Mitch Resnick of MIT Media Lab -- it's for everyone. In a fun, demo-filled talk Resnick outlines the benefits of teaching kids to code, so they can do more than just use new tech toys but also create them.",1008,Mitch Resnick,Mitch Resnick: Let's teach kids to code,Computer scientist,"['Internet', 'TEDx', 'children', 'code', 'computers', 'education', 'parenting', 'technology', 'youth']",Let's teach kids to code,1725064,1425
"iO Tillett Wright has photographed 2,000 people who consider themselves somewhere on the LGBTQ spectrum -- and asked many of them: Can you assign a percentage to how gay or straight you are? Most people, it turns out, consider themselves to exist in the gray areas of sexuality, not 100% gay or straight. Which presents a real problem when it comes to discrimination: Where do you draw the line?",1098,iO Tillett Wright,iO Tillett Wright: Fifty shades of gay,Photographer,"['Gender equality', 'Gender spectrum', 'LGBT', 'TEDx', 'Transgender', 'United States', 'gender', 'identity', 'inequality', 'photography', 'relationships']",Fifty shades of gay,2679698,1426
"Imagine a country with abundant power -- oil and gas, sunshine, wind (and money) -- but missing one key essential for life: water. Infrastructure engineer Fahad Al-Attiya talks about the unexpected ways that the small Middle Eastern nation of Qatar creates its water supply.",526,Fahad Al-Attiya,Fahad Al-Attiya: A country with no water,Food security expert,"['Middle East', 'TEDx', 'agriculture', 'cities', 'food', 'infrastructure', 'technology', 'water']",A country with no water,1412688,1427
"Kid President commands you to wake up, listen to the beating of your heart and create something that will make the world awesome. This video from SoulPancake delivers a soul-stirring dose of inspiration that only a 9-year-old can give.",208,Kid President,Kid President: I think we all need a pep talk,Inspirer,"['children', 'comedy', 'humor']",I think we all need a pep talk,828203,1428
"In Libya, Zahra' Langhi was part of the ""days of rage"" movement that helped topple the dictator Gaddafi. But -- then what? In their first elections, Libyans tried an innovative slate of candidates, the ""zipper ballot,"" that ensured equal representation from men and women of both sides. Yet the same gridlocked politics of dominance and exclusion won out. What Libya needs now, Langhi suggests, is collaboration, not competition; compassion, not rage. ",588,Zahra' Langhi,Zahra' Langhi: Why Libya's revolution didn't work -- and what might,Activist,"['compassion', 'democracy', 'global issues', 'politics', 'women']",Why Libya's revolution didn't work -- and what might,525297,1429
"High school science teacher Tyler DeWitt was ecstatic about his new lesson plan on bacteria (how cool!) -- and devastated when his students hated it. The problem was the textbook: it was impossible to understand. He delivers a rousing call for science teachers to ditch the jargon and extreme precision, and instead make science sing through stories and demonstrations.",680,Tyler DeWitt,Tyler DeWitt: Hey science teachers -- make it fun,Science enthusiast,"['DNA', 'TEDx', 'bacteria', 'biology', 'children', 'education', 'genetics', 'marketing', 'microbiology', 'physiology', 'psychology', 'science', 'storytelling']",Hey science teachers -- make it fun,1489438,1430
"There are so many tiny, beautiful, funny, tragic moments in your life -- how are you going to remember them all? Director Cesar Kuriyama shoots one second of video every day as part of an ongoing project to collect all the special bits of his life.",482,Cesar Kuriyama,Cesar Kuriyama: One second every day,Video maker,"['art', 'film', 'life', 'memory', 'online video']",One second every day,1666552,1431
"Chemist Lee Cronin is working on a 3D printer that, instead of objects, is able to print molecules. An exciting potential long-term application: printing your own medicine using chemical inks.",186,Lee Cronin,Lee Cronin: Print your own medicine,Chemist,"['3d printing', 'biology', 'biotech', 'chemistry', 'engineering', 'future', 'health care', 'innovation', 'invention', 'manufacturing', 'medical research', 'medicine', 'molecular biology', 'pharmaceuticals', 'product design', 'science', 'software', 'synthetic biology', 'technology']",Print your own medicine,987709,1432
"Make a city beautiful, curb corruption. Edi Rama took this deceptively simple path as mayor of Tirana, Albania, where he instilled pride in his citizens by transforming public spaces with colorful designs.",942,Edi Rama,Edi Rama: Take back your city with paint,Politician,"['Europe', 'TEDx', 'art', 'cities', 'community', 'global issues', 'government', 'urban planning']",Take back your city with paint,595537,1433
"Imagine a country where girls must sneak out to go to school, with deadly consequences if they get caught learning. This was Afghanistan under the Taliban, and traces of that danger remain today. 22-year-old Shabana Basij-Rasikh runs a school for girls in Afghanistan. She celebrates the power of a family's decision to believe in their daughters -- and tells the story of one brave father who stood up to local threats.",576,Shabana Basij-Rasikh,Shabana Basij-Rasikh: Dare to educate Afghan girls,Educator,"['TEDx', 'education', 'feminism', 'global issues', 'women']",Dare to educate Afghan girls,932561,1434
"Paved roads are nice to look at, but they're easily damaged and costly to repair. Erik Schlangen demos a new type of porous asphalt made of simple materials with an astonishing feature: When cracked, it can be ""healed"" by induction heating. ",410,Erik Schlangen,"Erik Schlangen: A ""self-healing"" asphalt",Experimental micromechanics pioneer,"['TEDx', 'demo', 'design', 'engineering', 'industrial design', 'infrastructure', 'innovation', 'invention', 'materials', 'science', 'technology', 'urban planning']","A ""self-healing"" asphalt",984382,1435
"James Glattfelder studies complexity: how an interconnected system -- say, a swarm of birds -- is more than the sum of its parts. And complexity theory, it turns out, can reveal a lot about how the world economy works. Glattfelder shares a groundbreaking study of how control flows through the global economy, and how concentration of power in the hands of a shockingly small number leaves us all vulnerable.",850,James B. Glattfelder,James B. Glattfelder: Who controls the world?,Complex systems theorist,"['TEDx', 'business', 'complexity', 'data', 'economics', 'global issues', 'inequality']",Who controls the world?,2533881,1436
"In long-term relationships, we often expect our beloved to be both best friend and erotic partner. But as Esther Perel argues, good and committed sex draws on two conflicting needs: our need for security and our need for surprise. So how do you sustain desire? With wit and eloquence, Perel lets us in on the mystery of erotic intelligence.",1150,Esther Perel,Esther Perel: The secret to desire in a long-term relationship,Relationship therapist,"['culture', 'love', 'relationships', 'sex']",The secret to desire in a long-term relationship,10524043,1437
"Why do we ever stop playing and creating? With charm and humor, celebrated Korean author Young-ha Kim invokes the world's greatest artists to urge you to unleash your inner child -- the artist who wanted to play forever. ",1017,Young-ha Kim,"Young-ha Kim: Be an artist, right now!",Writer,"['TEDx', 'art', 'creativity', 'spoken word', 'writing']","Be an artist, right now!",1841716,1438
"Can we use our brains to directly control machines? Miguel Nicolelis suggests yes, showing how a clever monkey in the US learned to control a robot arm in Japan purely with its thoughts. The research has big implications for quadraplegic people -- and in fact, it powered the exoskeleton that kicked off the 2014 World Cup.",895,Miguel Nicolelis,"Miguel Nicolelis: A monkey that controls a robot with its thoughts. No, really.",Neuroscientist,"['Bioethics', 'biotech', 'brain', 'cognitive science', 'cyborg', 'design', 'disability', 'engineering', 'exoskeleton', 'innovation', 'invention', 'mind', 'monkeys', 'neuroscience', 'primates', 'programming', 'prosthetics', 'robots', 'science', 'technology']","A monkey that controls a robot with its thoughts. No, really.",1229865,1439
"What can economists learn from linguists? Behavioral economist Keith Chen introduces a fascinating pattern from his research: that languages without a concept for the future -- ""It rain tomorrow,"" instead of ""It will rain tomorrow"" -- correlate strongly with high savings rates.",733,Keith Chen,Keith Chen: Could your language affect your ability to save money?,Behavioral economist,"['behavioral economics', 'business', 'data', 'economics', 'language']",Could your language affect your ability to save money?,1642461,1440
"Trinidad and Tobago amassed great wealth in the 1970s thanks to oil -- but 2 out of every 3 dollars earmarked for development ended up wasted or stolen. This fact has haunted Afra Raymond for 30 years. Shining a flashlight on a continued history of government corruption, Raymond gives us a reframing of financial crime.",1089,Afra Raymond,Afra Raymond: Three myths about corruption,Transparency activist,"['TEDx', 'corruption', 'crime', 'economics', 'government', 'protests']",Three myths about corruption,824898,1441
"How can we measure what makes a school system work? Andreas Schleicher walks us through the PISA test, a global measurement that ranks countries against one another -- then uses that same data to help schools improve. Watch to find out where your country stacks up, and learn the single factor that makes some systems outperform others.",1187,Andreas Schleicher,Andreas Schleicher: Use data to build better schools,Education surveyor,"['data', 'education', 'global issues', 'inequality', 'teaching']",Use data to build better schools,699088,1442
"An insect's ability to fly is one of the greatest feats of evolution. Michael Dickinson looks at how a fruit fly takes flight with such delicate wings, thanks to a clever flapping motion and flight muscles that are both powerful and nimble. But the secret ingredient: the incredible fly brain.",955,Michael Dickinson,Michael Dickinson: How a fly flies,Biologist,"['TEDx', 'animals', 'biology', 'biomechanics', 'brain', 'cognitive science', 'ecology', 'evolution', 'flight', 'insects', 'mind', 'nanoscale', 'neuroscience', 'physiology', 'science']",How a fly flies,1555722,1443
"Bruce Feiler has a radical idea: To deal with the stress of modern family life, go agile. Inspired by agile software programming, Feiler introduces family practices which encourage flexibility, bottom-up idea flow, constant feedback and accountability. One surprising feature: Kids pick their own punishments.",1080,Bruce Feiler,Bruce Feiler: Agile programming -- for your family,Writer,"['children', 'culture', 'engineering', 'family', 'parenting', 'software', 'youth']",Agile programming -- for your family,1403668,1444
"There's a place in France where the robots do a dance. And that place is TEDxConcorde, where Bruno Maisonnier of Aldebaran Robotics choreographs a troupe of tiny humanoid Nao robots through a surprisingly emotive performance.",189,Bruno Maisonnier,"Bruno Maisonnier: Dance, tiny robots!",Roboticist,"['TEDx', 'robots']","Dance, tiny robots!",1193896,1445
"Onstage at TED2013, Sugata Mitra makes his bold TED Prize wish: Help me design the School in the Cloud, a learning lab in India, where children can explore and learn from each other -- using resources and mentoring from the cloud. Hear his inspiring vision for Self Organized Learning Environments.",1351,Sugata Mitra,Sugata Mitra: Build a School in the Cloud,Education researcher,"['TED Prize', 'code', 'education', 'technology']",Build a School in the Cloud,2895821,1446
"Kicking off the TED2013 conference, Jennifer Granholm asks a very American question with worldwide implications: How do we make more jobs? Her big idea: Invest in new alternative energy sources. And her big challenge: Can it be done with or without our broken Congress?",761,Jennifer Granholm,Jennifer Granholm: A clean energy proposal -- race to the top!,Former governor of Michigan,"['energy', 'global issues', 'work']",A clean energy proposal -- race to the top!,745252,1447
